REGIÓN,MUNICIPIO,CATEGORÍA,INGRESOS EJECUTADOS 2024 PROYECTADOS 2025,GASTOS EJECUTADOS 2024 PROYECTADOS 2025,AHORRO OPERACIONAL,DEUDA IDEA Incluye por desembolsar,DEUDAS CON OTROS BANCOS  Incluye por desembolsar,SALDO TOTAL DEUDA PROYECTADA,INDICADOR DE CAPACIDAD  LEY 358 DE 1997,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 100%,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 80%,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 60%,Deuda del IDEA sobre el total,INDICADOR LEY 617,LÍMITE 617,SEMÁFORO,SUMATORIA DE PROYECTOS SIF,SUMATORIA DE PROYECTOS SED,SUMA TOTAL,SUMA TOTAL 2,APORTE GOB,APORTE GOB2,APORTE TOTAL IDEA + GOB,SOBRANTE O FALTANTE,ESP,0.5
Valle de Aburrá,Medellín,ESP,3643253573623.1133,1227432033091.78,2415821540531.333,180986901342.0,2084001890354.0,2264988791696.0,0.6216939737860553,1378264781927.1133,1102611825541.6907,826958869156.268,0.07990631212195928,0.3194963192668216,0.5,Cumple,0.0,0,0.0,3115536915.0,165391773831.2536,623107383.0,827581976539.268,992350642987.5215,,
Oriente,Abejorral,6,15030770872.282,4409672661.82,10621098210.462,1969764886.0,0.0,1969764886.0,0.1310488266195589,13061005986.282,10448804789.0256,7836603591.769199,1.0,0.39507659260977307,0.8,Cumple,5202752628.0,0,5202752628.0,15692752628.0,1567320718.3538399,1567320718.3538399,9403924310.12304,4201171682.1230392,,
Occidente,Abriaquí,6,4751801726.2775,1263292997.68,3488508728.5975,691012966.0,0.0,691012966.0,0.14542125404321754,4060788760.2775,3248631008.222,2436473256.1665,1.0,0.4944466971029567,0.8,Cumple,0.0,0,0.0,3775907233.0,487294651.23330003,487294651.23330003,2923767907.3998003,2923767907.3998003,,
Oriente,Alejandría,6,8362831920.76,2199279418.08,6163552502.68,284104325.0,209000000.0,493104325.0,0.05896379715296102,7869727595.76,6295782076.608001,4721836557.456,0.576154599739112,0.6130892850296299,0.8,Cumple,13522526574.0,0,13522526574.0,10357301258.0,944367311.4912001,944367311.4912001,5666203868.947201,-7856322705.052799,,
Suroeste,Amagá,6,25390387392.328503,8357833556.33,17032553835.998503,4689987006.0,6272045606.0,10962032612.0,0.431739478512726,14428354780.328503,11542683824.262802,8657012868.197102,0.4278391765470511,0.4634762673958971,0.8,Cumple,5581655075.0,0,5581655075.0,1856672323.0,1731402573.6394205,1731402573.6394205,10388415441.836521,4806760366.836521,,
Nordeste,Amalfi,6,15844230778.251999,8497967637.51,7346263140.741999,0.0,7918633450.0,7918633450.0,0.49978023930762366,7925597328.251999,6340477862.6016,4755358396.9512,0.0,0.7845912731058802,0.8,Riesgo,0.0,0,0.0,690000000.0,951071679.39024,951071679.39024,5706430076.341439,5706430076.341439,,
Suroeste,Andes,6,27843076411.63,11739999040.630001,16103077371.0,13999483044.0,1243354438.68,15242837482.68,0.5474552185732283,12600238928.95,10080191143.160002,7560143357.37,0.9184302502671967,0.46026317160648733,0.8,Cumple,38982049507.0,0,38982049507.0,29228989249.0,1512028671.474,1512028671.474,9072172028.844,-29909877478.156,,
Suroeste,Angelópolis,5,7630980393.457999,2836641555.84,4794338837.617999,46770446.019999996,1700000000.0,1746770446.02,0.22890511519561726,5884209947.438,4707367957.9504,3530525968.4627995,0.02677538203521019,0.7580768893854527,0.8,Riesgo,12311013166.0,0,12311013166.0,9858281136.0,706105193.69256,706105193.69256,4236631162.1553593,-8074382003.844641,,
Norte,Angostura,6,12764062914.553999,4266060462.2200003,8498002452.333999,4258957687.0,500000000.0,4758957687.0,0.37284035019708983,8005105227.553999,6404084182.0432,4803063136.532399,0.8949349767563924,0.6413295780713895,0.8,Cumple,14762715060.0,0,14762715060.0,17833615127.0,960612627.3064799,960612627.3064799,5763675763.838879,-8999039296.161121,,
Nordeste,Anorí,6,16148449667.859503,5168319228.77,10980130439.089502,943947740.0,680000000.0,1623947740.0,0.10056369332049052,14524501927.859503,11619601542.287603,8714701156.715702,0.5812673134419953,0.6409058278258218,0.8,Cumple,4225553380.0,0,4225553380.0,1185000000.0,1742940231.3431406,1742940231.3431406,10457641388.058842,6232088008.058842,,
Occidente,Anzá,6,7049911897.946,2502449802.4500003,4547462095.496,1083993787.0,0.0,1083993787.0,0.15375990546999926,5965918110.946,4772734488.756801,3579550866.5676,1.0,0.6897218979511048,0.8,Cumple,7164927563.0,0,7164927563.0,14285863057.0,715910173.31352,715910173.31352,4295461039.88112,-2869466523.1188803,,
