ID_RADICADOS,RADICADO,FECHA,DIAS TRANSCURRIDOS,SUBREGIÓN (BLOQUEAR),MUNICIPIO,ID PROYECTOS,PROYECTOS,TIPO DE SOLICITUD,PRESUPUESTO (ELIMINAR),OBSERVACIONES
1,2024010048235.0,2024-02-05 00:00:00,669.0,Nordeste,Vegachí,1.0,"CONSTRUCCIÓN DE PARQUES DEL RIO, ETAPA 1, EN EL MUNICIPIO DE VEGACHÍ, ANTIOQUIA”",Ajuste proyecto,666322545,
2,2024010031666.0,2024-01-25 00:00:00,680.0,Magdalena Medio,Puerto Triunfo,2.0,Construcción de muelle Malecón turístico en la Cabecera municipal de Puerto Triunfo Antioquia,Ajuste proyecto,496406918,
3,2024010111694.0,2024-12-03 00:00:00,367.0,Valle de Aburrá,Barbosa,3.0,Intercambio vial sector 3,Proyecto nuevo,54654511129,
4,2024010110440.0,2024-11-03 00:00:00,397.0,Oriente,El Retiro,145.0,"Parque lineal, Bosques urbanos",Proyecto nuevo,20074758933,
5,2024010118992.0,2024-03-15 00:00:00,630.0,Suroeste,Urrao,109.0,Construcción de pavimento rígido en vías urbanas y rurales del municipio de Urrao,Proyecto nuevo,0,
6,2024010105045.0,2024-07-03 00:00:00,520.0,Oriente,Rionegro,4.0,Construcción del Puente Biblioteca en el municipio de Rionegro,Ajuste proyecto,8594513471,
7,2024010070587.0,2024-02-16 00:00:00,658.0,Suroeste,Santa Bárbara,5.0,Pavimentación de la vía Santa Bárbara - Fredonia (ruta 25) Fredonia Código 25AN02 en el Plan de Desarrollo Departamental 2024 - 2027,Proyecto nuevo,0,
8,2024010071479.0,2024-02-19 00:00:00,655.0,Oriente,Abejorral,6.0,Placa huella Abejorral - Purima,Proyecto nuevo,6800000000,
9,2024010019030.0,2024-01-17 00:00:00,688.0,Norte,Donmatías,7.0,Pavimentación de 11km de la vía Riogrande - Bellavista (05237VT073),Proyecto nuevo,0,
10,2024010020020.0,2024-01-17 00:00:00,688.0,Urabá,Carepa,8.0,Solicitud de apoyo y acompañamiento integral a la Gestión territorial - Remitido por el ministerio de ambiente,,0,
11,2024010048752.0,2024-05-02 00:00:00,582.0,Nordeste,Vegachí,9.0,"Pavimentación de la vía que conduce al corregimiento portachuelo en Amalfí desde el municipio de Vegachí (05858VT61) ""Alejandría - Cascajo""",Proyecto nuevo,0,
12,2024010043395.0,2024-01-02 00:00:00,703.0,Bajo Cauca,Caucasia,10.0,"Aeropuerto Regional - Parque Lineal (Ciclo vía) - Peopuesta proyectos en desarrollo Bajo Cauca Antioqueño. Finca la Mariela - Caucasía, Antioquia",Proyecto nuevo,0,
13,2024010068835.0,2024-02-16 00:00:00,658.0,Occidente,Armenia,11.0,"Recuperación, pavimentación y mantenimiento a la malla vial que comunica al municipio de Armenia con el municipio de Titiribí",,0,
14,2024010033632.0,2024-01-25 00:00:00,680.0,0,,12.0,"Incluir el plan de negocios del PTI, en el plan de Desarrollo de Antioquia Firme
financiación para la terminación de los estudios de la pre-factibilidad y el acompañamiento del lincenciamiento ante la ANI.",Petición,0,
15,2024010078784.0,2024-02-22 00:00:00,652.0,Suroeste,Támesis,54.0,Vía entre corregimiento de San Pablo y vereda Naranjal (Codigo 05856VT104),Proyecto nuevo,0,
16,2024010084216.0,2024-02-26 00:00:00,648.0,Suroeste,Tarso,14.0,"Solicitud de Pavimentación vía Peñalisa - La Bodega - Tarso, La Bodega - Pueblorico con codigo 25BAN03-1",Petición,51682398,
17,2024010041849.0,2024-01-31 00:00:00,674.0,Norte,San José de la Montaña,15.0,Mejoramiento de la red vial urbana Municipio de San josé de la Montaña,Ajuste proyecto,294694981,
18,2024010054228.0,2024-07-02 00:00:00,521.0,Norte,San José de la Montaña,16.0,"Mejoramiento de vías rurales en los municipios de Belmira y San José de la Montaña, Antioquia",Proyecto nuevo,3142000000,
19,2024010013378.0,2024-01-15 00:00:00,690.0,Suroeste,Fredonia,17.0,Solicitud pavimentación vía corregimiento Marsella ,Proyecto nuevo,0,
20,2024010179553.0,2024-04-24 00:00:00,590.0,Urabá,San Pedro de Urabá,18.0,"Construcción de pavimento rígido en vías del casco urbano del municipio de San Pedro de Urabá, Antiquia",Proyecto nuevo,0,
21,2024010178436.0,2024-04-23 00:00:00,591.0,Urabá,San Juan de Urabá,19.0,"Construcción de placa huella en la vía acceso al corregimiento de Belén Municipio de San Juan de Urabá, Antioquia",Proyecto nuevo,2139964660,
22,2024010178733.0,2024-04-23 00:00:00,591.0,Nordeste,Yolombó,20.0,Mejoramiento vías urbanas municipio de Yolombó,Ajuste proyecto,750000000,
23,2024020016404.0,2024-04-16 00:00:00,598.0,Oriente,Rionegro,21.0,Construcción del ámbito patrimonio del proyecto Paisajes del Agua en el Municipio de Rionegro,Ajuste proyecto,1578945342,
24,2024010171235.0,2024-04-18 00:00:00,596.0,Oriente,Alejandría,22.0,Estudios y diseños para plaza de feria ganadera en el municipio de Alejandría - Antioquia,Proyecto nuevo,112000000,
25,2024010153392.0,2024-10-04 00:00:00,427.0,Norte,Donmatías,23.0,"Construcción del espacio público parques de la quebrada Donmatías, Antioquia - Etapa 1",Ajuste proyecto,764624487,
26,2024010207402.0,2024-08-05 00:00:00,487.0,Urabá,Turbo,24.0,Construcción de la fase dos del malecón turístico del Distrito de Turbo,Proyecto nuevo,0,
27,2024010237994.0,2024-05-28 00:00:00,556.0,Valle de Aburrá,Envigado,25.0,Diagnóstico inicial de vías terciarias,Petición,27000000000,
28,2024010232610.0,2024-05-24 00:00:00,560.0,Oriente,Alejandría,26.0,Construcción de la apertura vial entre la calle 16 y la carrera 22 de la zona urbana del municipio de Alejandría,Proyecto nuevo,4805691053,
29,2024010233575.0,2024-05-24 00:00:00,560.0,Magdalena Medio,Puerto Triunfo,27.0,Malecón turístico cebecera municipal Puerto Triunfo,Ajuste proyecto,1500000000,
30,2024010201559.0,2024-06-05 00:00:00,548.0,Valle de Aburrá,Barbosa,28.0,Pavimentación vía secundaria Barbosa - Concepción,Proyecto nuevo,0,
31,2024010209802.0,2024-09-05 00:00:00,456.0,Norte,Santa Rosa de Osos,29.0,Mejoramiento y mantenimiento mediante pavimentación en asfalto de la vía El Chaquiro (Ruta 25) - corregimiento de Aragón (Código 25AN10) Zona rural del municipio de Santa Rosa de Osos - Antioquia,Proyecto nuevo,0,
32,2024010224714.0,2024-05-20 00:00:00,564.0,Oriente,Sonsón,30.0,Construcción de vías urbanas en el municipio de Sonsón Antioquia,Proyecto nuevo,4281286508,
33,2024010233254.0,2024-05-24 00:00:00,560.0,Valle de Aburrá,Barbosa,31.0,"Solicitud de construcción de vía en el sector Quebrada Arriba, Los Lagos y Matazano (Barbosa - Donmatías)",Petición,0,
34,2024010246827.0,2024-04-06 00:00:00,608.0,Urabá,San Pedro de Urabá,32.0,"Construcción de pavimento en el barrio Brisas de Urabá del municipio de San Pedro de Urabá, Antioquia",Proyecto nuevo,2256305783,
35,2024010258317.0,2024-11-06 00:00:00,394.0,Suroeste,Pueblorrico,33.0,Mejoramiento de vías del circuito productivo Pueblorrico . Ye a la Bodega - La Bodega (Andes),Proyecto nuevo,4943542014,
36,2024010152199.0,2024-09-04 00:00:00,457.0,Suroeste,Valparaíso,34.0,Parque principal - Segunda etapa,Proyecto nuevo,0,
37,2024010159071.0,2024-12-04 00:00:00,366.0,Suroeste,Amagá,35.0,Construcción de la antigua plaza de mercado para adecuar y poner en funcionamiento la casa de justicia o centro de convivencia,Petición,0,
38,2024010163837.0,2024-04-16 00:00:00,598.0,Urabá,San Pedro de Urabá,36.0,Construcción del ecoparque lineal La Vara en el municipio de San Pedro de Urabá,Proyecto nuevo,2500751722,
39,2024010238427.0,2024-05-28 00:00:00,556.0,Norte,Donmatías,23.0,"Construcción del espacio público parques de la quebrada Donmatías, Antioquia - Etapa 1",Ajuste proyecto,426248730,
40,2024010238039.0,2024-05-28 00:00:00,556.0,Occidente,Sopetrán,37.0,Proyecto de pavimentación en la vía Sopetrán - Belmira,Proyecto nuevo,16955817824,
41,2024010257155.0,2024-11-06 00:00:00,394.0,Oriente,San Carlos,38.0,"Pavimentación y urbanismo en cncreto rígido en la zona urbana del municipio de San Carlos, departamento de Antioquia (Etapa 2)",Proyecto nuevo,5930233558,
42,2024010273696.0,2024-09-19 00:00:00,442.0,Norte,Donmatías,39.0,Pavimentación de 3 kilómetros de la vía Bellavista - Riogrande,Petición,7948407205,
43,2024010429631.0,2024-06-21 00:00:00,532.0,Norte,Donmatías,39.0,Pavimentación de 3 kilómetros de la vía Bellavista - Riogrande,Petición,7948407205,
