OBJECTID,COD_MPIO,MPIO_NOMBRE,COD_ZONA,COD_SUBREGION,REGION,SUBREGION,ZONA,TERRIT_CAR,Shape__Area,Shape__Length
1,05002,ABEJORRAL,Z15,SR07,CORNARE,ORIENTE,Páramo,Paramo,515465874.0131836,129286.12305436202
2,05004,ABRIAQUÍ,Z13,SR06,CORPOURABA,OCCIDENTE,Cuenca del Río Sucio,Nutibara,302569884.27734375,90573.30004773854
3,05021,ALEJANDRÍA,Z16,SR07,CORNARE,ORIENTE,Embalses,Aguas,131353997.08007812,78721.90860793088
4,05030,AMAGÁ,Z19,SR08,CORANTIOQUIA,SUROESTE,Sinifaná,Aburra Sur,85565712.08642578,49690.819580782416
5,05031,AMALFI,Z07,SR04,CORANTIOQUIA,NORDESTE,Meseta,Zenufana,1234964529.3740234,225800.03789139187
6,05034,ANDES,Z20,SR08,CORANTIOQUIA,SUROESTE,San Juan,Citara,408668365.9145508,127924.61217541719
7,05036,ANGELÓPOLIS,Z19,SR08,CORANTIOQUIA,SUROESTE,Sinifaná,Aburra Sur,83293813.81445312,47710.7141852764
8,05038,ANGOSTURA,Z10,SR05,CORANTIOQUIA,NORTE,Vertiente Chorros Blancos,Tahamies,345639967.49072266,102650.67870447163
9,05040,ANORÍ,Z09,SR04,CORANTIOQUIA,NORDESTE,Río Porce ,Tahamies,1445210231.5898438,206608.15008705878
10,05044,ANZÁ,Z14,SR06,CORANTIOQUIA,OCCIDENTE,Cauca Medio,Hevexicos,260488461.53173828,83398.82947451774
11,05045,APARTADÓ,Z23,SR09,CORPOURABA,URABA,Urabá Centro,Centro,547974053.0244141,143867.9219199854
12,05051,ARBOLETES,Z24,SR09,CORPOURABA,URABA,Urabá Norte,Norte,775192827.9492188,205875.5322073051
13,05055,ARGELIA,Z15,SR07,CORNARE,ORIENTE,Páramo,Paramo,249351238.30273438,118431.81620657895
14,05059,ARMENIA,Z14,SR06,CORANTIOQUIA,OCCIDENTE,Cauca Medio,Aburra Sur,112356265.97607422,56148.33174364583
15,05079,BARBOSA,Z02,SR01,AREA METROPOLITANA,VALLE DE ABURRA,Norte ,Aburra Norte,209584661.02783203,85898.2633656157
16,05088,BELLO,Z02,SR01,AREA METROPOLITANA,VALLE DE ABURRA,Norte ,Aburra Norte,150612682.25683594,64725.057400838596
17,05086,BELMIRA,Z11,SR05,CORANTIOQUIA,NORTE,Río Grande y Chico,Tahamies,302110750.21484375,131045.8409546047
18,05091,BETANIA,Z20,SR08,CORANTIOQUIA,SUROESTE,San Juan,Citara,183342991.87597656,77235.73570608588
19,05093,BETULIA,Z21,SR08,CORANTIOQUIA,SUROESTE,Penderisco,Citara,266911110.14892578,94658.31163902857
20,05107,BRICEÑO,Z10,SR05,CORANTIOQUIA,NORTE,Vertiente Chorros Blancos,Tahamies,384446083.76464844,112271.14694725165
21,05113,BURITICÁ,Z14,SR06,CORANTIOQUIA,OCCIDENTE,Cauca Medio,Hevexicos,362266028.28222656,107752.92315715818
22,05125,CAICEDO,Z14,SR06,CORANTIOQUIA,OCCIDENTE,Cauca Medio,Hevexicos,203771504.71142578,72085.23446178074
23,05129,CALDAS,Z03,SR01,AREA METROPOLITANA,VALLE DE ABURRA,Sur ,Aburra Sur,135040781.7392578,59254.43457548599
24,05134,CAMPAMENTO,Z10,SR05,CORANTIOQUIA,NORTE,Vertiente Chorros Blancos,Tahamies,210762999.57373047,100842.33658269925
25,05142,CARACOLÍ,Z05,SR03,CORANTIOQUIA,MAGDALENA MEDIO,Nus,Zenufana,267755736.1640625,113361.87189433652
26,05145,CARAMANTA,Z22,SR08,CORANTIOQUIA,SUROESTE,Cartama,Cartama,93501121.41894531,55878.28884252345
27,05147,CAREPA,Z23,SR09,CORPOURABA,URABA,Urabá Centro,Centro,396283103.6464844,146288.48719505768
28,05150,CAROLINA,Z09,SR05,CORANTIOQUIA,NORTE,Río Porce ,Tahamies,152604072.16210938,64867.315582875024
29,05154,CAUCASIA,Z04,SR02,CORANTIOQUIA,BAJO CAUCA,Bajo Cauca,Panzenu,1465473173.1118164,338311.59000794066
