OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,CONCESION,ORDEN,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
1,1, , ,Túnel Guillermo Gaviria Echeverry, ,Gobernacion de Antioquia (Túnel del Toyo- tramo II),Concesión Vial Túnel del Toyo,Primer Orden,Santafé-Cañasgordas (CD), , , , ,0,0,1,0,0, , ,15719.077185749553,7b27c671-6ce9-4863-96d3-8b62bda3cbd9
2,1, , ,Túnel Guillermo Gaviria Echeverry, ,INVIAS - Antioquia (Túnel Toyo - tramo I ), Concesión Vial Túnel del Toyo,Primer Orden,Santafé-Cañasgordas (CD), , , , ,0,0,1,0,0, , ,24880.26599789108,626391c4-de64-4f6a-b7fd-4196ea1a0063
3,1, , ,Autopista Conexión Pacífico 1, ,ANI - Vial del Pacífico (A construir),Concesionaria Vial del Pacífico S.A.S - COVIPACÍFICO S.A.S,Primer Orden,"Bolombolo-Camilo C, EjeRef", , , , ,0,0,1,0,0, , ,49661.707314278414,1c1b422d-4063-407c-9e82-562c195d1167
4,1, , ,Autopista Conexión Pacífico 3, ,ANI - Pacífico tres S.A.S,CONCESIÓN PACIFICO TRES S.A.S,Primer Orden,Troncal de Occidente, , , , ,0,0,1,0,0, , ,148550.21459575504,017b1a50-fe85-4a8a-b581-d8226f34ad52
5,1, , ,Autopistas Conexión Norte, ,ANI - Autopistas del Nordeste S.A.S,Autopistas del Nordeste S.A.S,Primer Orden,"Otú - Zaragoza, CI", , , , ,0,0,1,0,0, , ,293442.41860034113,9ed99524-80ef-450c-a63e-5b04f2853745
6,1, , ,Autopistas al Mar 2, ,3,AUTOPISTAS URABA SAS,Primer Orden,Troncal de Urabá, , , , ,0,0,1,0,0, , ,198083.7847811452,761d9baf-e4e9-4b09-bf97-7d79c3afec47
7,1, , ,Autopista Conexión Pacífico 2, ,ANI - La Pintada S.A.S,CONCESIÓN LA PINTADA S.A.S,Primer Orden, Bolombolo - La Pintada, , , , ,0,0,1,0,0, , ,98278.60762680582,400d554c-2915-4065-b759-9fc310b104e7
8,1, , ,Autopista al Río Magdalena, ,ANI - Autopistas Río Magdalena S.A.S,Autopista Río Magdalena S.A.S Grupo OHL,Primer Orden,"Río Monos - Otú, CD", , , , ,0,0,1,0,0, , ,252992.59449561159,c7ce22b7-ebdd-4c0e-90cb-5076f46837d3
9,1, , ,Autopistas al Mar 1, ,ANI - DEVIMAR,DESARROLLO VIAL AL MAR S.A.S,Primer Orden,Peñalisa - Santa Fé - Cañas Gordas, , , , ,0,0,1,0,0, , ,217543.26564490332,b135f318-3097-40fb-8a71-797fadd07ce1
10,1, , ,IP – Vías del Nus, ,ANI - VINUS S.A.S,Concesión Vías del NUS - VINUS S.A.S.,Primer Orden, Pradera - Alto de Dolores, , , , ,0,0,1,0,0, , ,87237.41204726417,b69d0d1d-ac30-4c2a-83b9-05776aaa5934
