OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
1,2, , ,Paso por Caldas,25ANF, ,Primer Orden, , , ,Paso por Caldas,Paso por Caldas, ,10.4,10.5,7.0,0,0, , ,10510.528517178196,6c5fbe9d-5225-488e-ac93-656a1825f663
2,2, , ,La Fabiana - El Líbano - Támesis,25AN01-1, ,Segundo Orden, , , ,La Fabiana, Támesis, ,17.0,16.4,6.78,0,0, , ,17040.04810783599,eed76332-8bd4-410b-b0db-8b754ba491b9
3,2, , ,Támesis - Puente Lata,25AN01-2-1, ,Tercer Orden, , , ,Támesis, Puente Lata, ,21.0,20.5,3.5,0,0, , ,20503.246239431104,15bc3ccc-c5d0-443e-bb33-2a27cdae1019
4,2, , ,Santa Bárbara (Ruta 25 ) - Ye a Fredonia - Fredonia,25AN02, ,Segundo Orden, , , ,Santa Bárbara (Ruta 25 ), Fredonia, ,27.0,25.9,3.583933,0,0, , ,26262.79806284498,49fc20d2-35c2-42f2-a77d-3f6b34be58bf
5,2, , ,La Granja (Montebello) - El Retiro,25AN03-1, ,Segundo Orden, , , ,La Granja (Montebello), El Retiro, ,25.6,25.6,4.22944,0,0, , ,25519.26960496812,7f7aeb6a-8d1d-4c93-836f-9ee287886e80
6,2, , ,Montebello - El Cairo,25AN03-2, ,Tercer Orden, , , ,Montebello, El Cairo, ,23.7,22.4,4.085791,0,0, , ,22455.68782481307,1a7ddaf1-cc0d-4dd4-bc59-03cba0921323
7,2, , ,Caldas - Angelópolis,25AN05, ,Segundo Orden, , , ,Caldas, Angelópolis, ,14.2,13.8,6.0,0,0, , ,13859.329210738717,ffa4d808-ee9e-48cf-be16-759b794bb2f1
8,2, , ,Variante Don Matías (Ruta 25) - Río Chico - Entrerríos,25AN06, ,Segundo Orden, , , ,Variante Don Matías (Ruta 25),Entrerríos., ,24.9,24.8,6.954706,0,0, , ,24647.755493612513,c9d2696c-63e8-473c-8f10-7f7b480bd0d3
9,2, , ,La Cabaña (Ruta 25) - Puente Gavino.,25AN07, ,Tercer Orden, , , ,La Cabaña (Ruta 25),Puente Gavino., ,37.5,39.0,5.0,0,0, , ,38084.63438653425,5a03bd16-8243-411d-8142-85c166a21259
10,2, , ,El Roble (Ruta 25) - La Ye (Partidas Angostura) - La Herradura,25AN09, ,Segundo Orden, , , ,El Roble (Ruta 25), La Herradura, ,38.8,37.5,6.199884,0,0, , ,37828.01857679509,9e0b4f62-9ec2-4d99-8df0-b914848c0f22
11,2, , ,La Ese - Angostura - La Ye (Partidas Angostura),25AN09-1, ,Segundo Orden, , , ,La Ese,La Ye (Partidas Angostura), ,32.4,32.5,6.25,0,0, , ,32499.622827411236,c3c25777-0e6e-4fb0-b9c0-7be220741694
12,2, , ,Yarumal - La Ese - Campamento,25AN12, ,Segundo Orden, , , ,Yarumal,Campamento., ,19.1,19.5,6.076923,0,0, , ,19542.936689195794,490e6d5f-bf5b-4430-8e88-1a6e0486873c
13,2, , ,Campamento - Ye de Anorí,25AN12-1, ,Tercer Orden, , , ,Campamento, Ye de Anorí, ,37.0,36.9,3.11726,0,0, , ,36898.41983111728,cbffebf3-404c-4184-8b61-1a8a3735840a
14,2, , ,Anorí - El Mango,25AN12-1-1, ,Segundo Orden, , , ,Anorí, El Mango, ,55.5,54.1,6.378378,0,0, , ,57090.45482288611,46a29e2d-d2d6-464d-9f25-54980784eeff
15,2, , ,San Fermín (Ruta 25) - Briceño,25AN13, ,Segundo Orden, , , ,San Fermín (Ruta 25), Briceño, ,28.6,28.1,6.140351,0,0, , ,28377.264592524007,d546f6b3-e640-4785-b413-6ff2d2dd2545
16,2, , ,Paso por Valdivia,25AN14, ,Segundo Orden, , , ,Paso por Valdivia,Paso por Valdivia, ,1.8,1.9,7.0,0,0, , ,1872.4377679582508,7514647e-af70-422c-8474-ed492d1abdd8
17,2, , ,Paso por Cáceres,25AN15, ,Segundo Orden, , , ,Paso por Cáceres,Paso por Cáceres, ,3.4,3.3,6.22,0,0, , ,3284.0894979921513,e8615825-2f77-4e7b-b800-1d4a64f71448
18,2, , ,Jardín (Ruta 25) - Manizales (Límites con Departamento de Córdoba).,25AN16, ,Tercer Orden, , , ,Jardín (Ruta 25),Manizales (Límites con Departamento de Córdoba)., ,20.9,20.9,5.0,0,0, , ,21983.828275945678,10b7c235-3055-4d01-ab59-a7026170c2cd
19,2, , ,Partidas de Zaragoza - El Bagre,25AN17-1, ,Tercer Orden, , , ,Partidas de Zaragoza, El Bagre, ,18.5,18.6,4.717778,0,0, , ,18576.352619121903,6f2362d3-c7a7-4515-b7cc-9181a267d13b
