OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,SUPERFICIE,ESTADO,FUENTEINFO,PRODUCTO_PRINCIPAL,ORDEN,OBSERVACIONES,CIRCULAR,Shape__Length,GlobalID
11849,Terciaria,Nordeste,Amalfi,Portachuelo- Q La Matica  Limite Con Vegachi,05031VT30,Municipio, , , ,Portachuelo,Q. La Matica  Limite Con Vegachi,Portachuelo - Mpio. De Vegachí,3.33,3.33,4.0,Afirmado,Regular,Municipio,Caña Panelera,0,Vía nueva reportada por el Municipio,CIRCULAR 10,3332.6020490495816,ef99e6b2-05a5-4c46-8ed4-71f2f4bdc227
11850,Terciaria,Nordeste,Amalfi,Portachuelo-Finca La Samaria,05031VT11,Municipio, , , ,Portachuelo,Finca La Samaria,Portachuelo Afinca La Samaria,1.28,1.28,4.0,Afirmado,Regular,Municipio,Plantación Otras Especies,0,Vía nueva reportada por el Municipio,CIRCULAR 10,1275.5195246978683,235dc7bd-ac00-402d-8c68-b0162626f296
11851,Terciaria,Nordeste,Amalfi,Portachuelo:  Via Por El Matadero,05031VT04,Municipio, , , ,Portachuelo,El Matadero,Vía Interna Corregimiento Portachuelo,0.27,0.27,4.0,Afirmado,Regular,Municipio,Caña Panelera,0,Vía nueva reportada por el Municipio,CIRCULAR 10,266.495074910694,15a9b930-437f-44b5-95da-177d6065c95b
11852,Terciaria,Nordeste,Amalfi,Partidas De Manzanillo-Terminal De La Gomez,05031VT21,Municipio, , , ,Partidad De Manzanillo,Terminal De La Gomez,Veredas Manzanillo - La Gómez,2.22,2.22,4.0,Afirmado,Regular,Municipio,Café,0,Vía nueva reportada por el Municipio,CIRCULAR 10,2224.9195812118865,9aafee3d-b32e-49cd-a078-3ce871501f75
11853,Terciaria,Nordeste,Amalfi,Ramal Boqueron-Finca En Encierro,05031VT09,Municipio, , , ,Ramal Boqueron-,Finca En Encierro,Vereda Boquerón A Finca El Encierro,1.14,1.14,4.0,Afirmado,Regular,Municipio,Café,0,Vía nueva reportada por el Municipio,CIRCULAR 10,1136.6477961950438,5c4ddaab-6a71-4d89-892f-13eec3e34b5a
11854,Terciaria,Nordeste,Amalfi,Zacatin -La Española -El Cerro,05031VT46,Municipio, , , ,Zacatin,Mina El Cerro,Barrío El Zacatín - Mina El Cerro,5.68,5.68,4.0,Afirmado,Regular,Municipio,Café,0,Vía nueva reportada por el Municipio,CIRCULAR 10,5680.995020734797,64fb2152-19a8-48e6-b043-1b2d8aafd8db
11855,Terciaria,Nordeste,Amalfi,La Manguita -Puente Porce Via Epm,05031VT50,Municipio, , , ,La Manguita,Puente Porce Via Epm,Vereda La Manguita - Proyecto Porce Iii,8.41,8.41,4.0,Afirmado,Regular,Municipio,Ganadería de Carne,0,Vía nueva reportada por el Municipio,CIRCULAR 10,8407.718400473923,e6a8c428-062e-4b63-9e2a-9324c28e8b56
11856,Terciaria,Nordeste,Amalfi,Puente Porce Limite Municipal Con Anori,05031VT15,Municipio, , , ,Puente Porce,Limite Municipal Con Anori,Puente Porce - Limite Municipal Con Anori,1.68,1.68,4.0,Afirmado,Regular,Municipio,Ganadería de Carne,0,Vía nueva reportada por el Municipio,CIRCULAR 10,1684.6184875890096,3f738232-3c0d-4eb2-9c92-b95090c5de01
11857,Terciaria,Nordeste,Amalfi,El Eden -San Antonio La Sonadora,05031VT49,Municipio, , , ,El Eden,Vereda La Sonadora,Veredas Salazar - San Antonio - La Sonadora,8.19,8.19,4.0,Afirmado,Regular,Municipio,Café,0,Vía nueva reportada por el Municipio,CIRCULAR 10,8190.32593594172,1b0c06c7-7a4d-44f6-b34b-196c7d405e39
11858,Terciaria,Nordeste,Amalfi,El Recreo Escuela El Tigrillo,05031VT52,Municipio, , , ,El Recreo,Escuela El Tigrillo,Vereda Arenas Blancas - El Tigrillo,10.33,10.33,4.0,Afirmado,Regular,Municipio,Café,0,Vía nueva reportada por el Municipio,CIRCULAR 10,10331.785251360627,9a03e5b6-f753-47be-af0f-c0a219f9c26d
11859,Terciaria,Nordeste,Amalfi,Portachuelo  Via  Al Colegio,05031VT02,Municipio, , , ,Portachuelo,El Colegio,Vías Internas Portachuelo,0.12,0.12,4.0,Afirmado,Regular,Municipio,Caña Panelera,0,Vía nueva reportada por el Municipio,CIRCULAR 10,117.9856086721412,fd4af673-7971-4acd-97dc-750315b5b600
