OBJECTID,COD_MPIO,MPIO_NOMBRE,COD_VERE,VERE_NOMBRE,VERE_TIPO,VERE_TIPO_CP,COD_SECTOR,COD_CORRE,CORREGIMIENTO,COD_MANZANA,COD_DEPTO,COD_SUBREGION,SUBREGION,ZONA,Shape__Area,Shape__Length
1,05483,NARIÑO,7483202,La Española,VE,VE,2,2,Puerto Venus,7483202002,5,7,ORIENTE,Paramo,18752545.029296875,20796.240358672636
2,05364,JARDIN,8364201,La Mesenia,VE,VE,2,1,Cabecera,8364201006,5,8,SUROESTE,San Juan,3845260.263671875,14161.642041389328
3,05034,ANDES,8034206,La Mesenia,VE,VE,2,6,Santa Ines,8034206063,5,8,SUROESTE,San Juan,9000122.260742188,20059.17397776451
4,05145,CARAMANTA,8145202,Naranjal,VE,VE,2,2,Alegrias,8145202006,5,8,SUROESTE,Cartama,4844897.784667969,11496.326489370944
5,05145,CARAMANTA,8145202,La Frisolera,VE,VE,2,2,Alegrias,8145202007,5,8,SUROESTE,Cartama,510637.900390625,4047.25627130998
6,05483,NARIÑO,7483202,El Bosque,VE,VE,2,2,Puerto Venus,7483202004,5,7,ORIENTE,Paramo,3303665.7846679688,7784.984390013672
7,05145,CARAMANTA,8145202,El Balso,VE,VE,2,2,Alegrias,8145202008,5,8,SUROESTE,Cartama,1887173.5737304688,6433.253999840287
8,05483,NARIÑO,7483202,Quebrada Negra,VE,VE,2,2,Puerto Venus,7483202009,5,7,ORIENTE,Paramo,1597894.3408203125,5155.340011700878
9,05364,JARDIN,8364201,Macanas,VE,VE,2,1,Cabecera,8364201005,5,8,SUROESTE,San Juan,29638160.03076172,26466.19450907712
10,05145,CARAMANTA,8145201,La Cascada,VE,VE,2,1,Cabecera,8145201001,5,8,SUROESTE,Cartama,10235625.416503906,17602.33337743589
11,05483,NARIÑO,7483202,Venecia,VE,VE,2,2,Puerto Venus,7483202007,5,7,ORIENTE,Paramo,1464720.6118164062,6556.444841372103
12,05483,NARIÑO,7483202,Puerto Venus,VE,VE,2,2,Puerto Venus,7483202999,5,7,ORIENTE,Paramo,1396260.9750976562,6003.0367159021935
13,05145,CARAMANTA,8145201,Palmichal,VE,VE,2,1,Cabecera,8145201004,5,8,SUROESTE,Cartama,3275023.8564453125,8793.598624209755
14,05483,NARIÑO,7483202,La Hermosa,VE,VE,2,2,Puerto Venus,7483202005,5,7,ORIENTE,Paramo,3692711.4204101562,9060.303803154438
15,05145,CARAMANTA,8145202,Aguadita Grande,VE,VE,2,2,Alegrias,8145202005,5,8,SUROESTE,Cartama,4831321.2880859375,11596.693270233438
16,05145,CARAMANTA,8145201,Cañas,VE,VE,2,1,Cabecera,8145201005,5,8,SUROESTE,Cartama,1919005.1567382812,8343.213234410372
17,05483,NARIÑO,7483202,Aguacatal,VE,VE,2,2,Puerto Venus,7483202008,5,7,ORIENTE,Paramo,629747.3657226562,3239.0367398984863
18,05483,NARIÑO,7483202,Montecristo,VE,VE,2,2,Puerto Venus,7483202001,5,7,ORIENTE,Paramo,32276875.786132812,26806.331507165854
19,05483,NARIÑO,7483102,Puerto Venus,CO,Cp,1,2,Puerto Venus,7483102999,5,7,ORIENTE,Paramo,74564.81298828125,1580.0499704208526
20,05145,CARAMANTA,8145202,San Jose,VE,VE,2,2,Alegrias,8145202001,5,8,SUROESTE,Cartama,3260413.1372070312,10012.858881360578
21,05364,JARDIN,8364201,Santa Gertrudis,VE,VE,2,1,Cabecera,8364201007,5,8,SUROESTE,San Juan,4356628.595703125,12036.170743844801
22,05483,NARIÑO,7483202,La Iguana,VE,VE,2,2,Puerto Venus,7483202006,5,7,ORIENTE,Paramo,13750976.722167969,17027.65181760928
23,05145,CARAMANTA,8145201,Olibales,VE,VE,2,1,Cabecera,8145201002,5,8,SUROESTE,Cartama,16049421.895019531,29067.255346758855
24,05483,NARIÑO,7483201,Damas,VE,VE,2,1,Cabecera,7483201008,5,7,ORIENTE,Paramo,6334885.304199219,15600.984579078951
25,05145,CARAMANTA,8145201,San Pablo,VE,VE,2,1,Cabecera,8145201006,5,8,SUROESTE,Cartama,4000575.7412109375,10534.968374528728
26,05034,ANDES,8034206,La Avanzada,VE,VE,2,6,Santa Ines,8034206059,5,8,SUROESTE,San Juan,1990995.677734375,6572.065032329969
27,05483,NARIÑO,7483202,El Zafiro,VE,VE,2,2,Puerto Venus,7483202010,5,7,ORIENTE,Paramo,1437209.2197265625,5440.186606339204
28,05145,CARAMANTA,8145202,Aguadita Chiquita,VE,VE,2,2,Alegrias,8145202004,5,8,SUROESTE,Cartama,4136363.1396484375,11552.079777994708
29,05145,CARAMANTA,8145202,La Sirena,VE,VE,2,2,Alegrias,8145202002,5,8,SUROESTE,Cartama,2802933.9389648438,10808.808440509512
30,05034,ANDES,8034206,Santa Isabel,VE,VE,2,6,Santa Ines,8034206062,5,8,SUROESTE,San Juan,10535903.25,22769.03128513821
31,05034,ANDES,8034206,La Borraja,VE,VE,2,6,Santa Ines,8034206058,5,8,SUROESTE,San Juan,10174402.317871094,16504.969724115683
32,05145,CARAMANTA,8145102,Alegrías,CO,Cp,1,2,Alegrias,8145102999,5,8,SUROESTE,Cartama,18073.23876953125,1058.2099061404526
33,05034,ANDES,8034206,La Cristalina,VE,VE,2,6,Santa Ines,8034206061,5,8,SUROESTE,San Juan,7589350.0625,20548.647508428152
34,05145,CARAMANTA,8145101,Caramanta,CM,CM,1,1,Cabecera,8145101001,5,8,SUROESTE,Cartama,996479.3955078125,4364.878173553371
35,05856,VALPARAISO,8856201,El Libano,VE,VE,2,1,Cabecera,8856201004,5,8,SUROESTE,Cartama,2550097.1298828125,8680.78397179823
36,05145,CARAMANTA,8145202,La Union,VE,VE,2,2,Alegrias,8145202009,5,8,SUROESTE,Cartama,2445944.1875,8385.073217719982
37,05145,CARAMANTA,8145202,La Esmeralda,VE,VE,2,2,Alegrias,8145202003,5,8,SUROESTE,Cartama,936052.8916015625,4083.350218465279
38,05483,NARIÑO,7483202,Guadualito,VE,VE,2,2,Puerto Venus,7483202011,5,7,ORIENTE,Paramo,9896746.860351562,15981.298437768752
39,05034,ANDES,8034106,Santa Ines,CO,Cp,1,6,Santa Ines,8034106999,5,8,SUROESTE,San Juan,32056.1181640625,1299.8435218565687
40,05034,ANDES,8034206,San Julian,VE,VE,2,6,Santa Ines,8034206060,5,8,SUROESTE,San Juan,1565529.87109375,5778.427555339134
41,05483,NARIÑO,7483202,El Piñal,VE,VE,2,2,Puerto Venus,7483202003,5,7,ORIENTE,Paramo,17186130.052246094,22740.878191817468
42,05483,NARIÑO,7483201,San Pablo,VE,VE,2,1,Cabecera,7483201007,5,7,ORIENTE,Paramo,6035257.996582031,10919.755615085385
43,05145,CARAMANTA,8145203,San Antonio,VE,VE,2,3,Sucre,8145203006,5,8,SUROESTE,Cartama,5116076.392578125,12635.585978717998
44,05145,CARAMANTA,8145201,Peladeros,VE,VE,2,1,Cabecera,8145201003,5,8,SUROESTE,Cartama,4432664.981933594,14330.701670192684
